name,artist,artist_followers,popularity,duration_ms,explicit,album_type,release_date
Fire Fire,Shimza,228736,76,150480,False,single,2025-06-13
FAMOUS,ALLDAY PROJECT,641473,74,180353,False,single,2025-06-23
Fuera del Planeta,Eloy,68761,76,225000,True,album,2020-03-19
I Thought I Saw Your Face Today,She & Him,556835,92,170333,False,album,2008-03-18
FERXXO 151,Feid,19477980,76,195386,False,album,2023-09-29
Sienna,The Marías,4297262,89,224840,False,album,2024-05-31
back to friends,sombr,3505903,92,199032,False,single,2024-12-27
LV Sandals,EsDeeKid,1257321,87,111157,True,album,2025-06-20
We Found Love,Rihanna,70915955,86,215226,False,album,2011-11-18
Santa Fe - Acoustic,Zach Bryan,7667957,60,151675,False,album,2026-01-12
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,12102852,85,199920,True,album,2022-12-02
You (feat. Travis Scott),Don Toliver,7928777,83,213637,True,album,2021-10-08
Bad (feat. Rihanna) - Remix,Wale,4347249,85,238826,True,album,2013-06-25
frente al mar,Beéle,3931663,79,165178,False,album,2025-05-15
Santa Fe,Zach Bryan,7667957,54,174197,False,album,2026-01-12
Thinkin Bout You,Frank Ocean,21091353,85,200746,False,album,2012-07-10
TOXIC (with Skepta),Playboi Carti,15626997,83,135275,True,album,2025-03-14
Novacane,Frank Ocean,21091353,83,302346,True,single,2011-01-01
party 4 u,Charli xcx,6615828,84,296653,False,album,2020-05-15
cardigan,Taylor Swift,150105668,85,239560,False,album,2020-07-24
Smack That,Akon,6283637,87,212360,True,album,2006-01-01
SexyBack (feat. Timbaland),Justin Timberlake,16213325,86,242733,True,album,2006-09-12
BIRDS OF A FEATHER,Billie Eilish,122052995,95,210373,False,album,2024-05-17
Solo,Future,23388591,84,265996,True,album,2017-07-27
Marlboro Rojo,Fuerza Regida,22264456,89,184173,True,album,2025-05-02
tv off (feat. lefty gunplay),Kendrick Lamar,46013223,86,220690,True,album,2024-11-22
Have Yourself A Merry Little Christmas - Remastered 1999,Frank Sinatra,8626722,85,206600,False,album,1957-09
Beautiful Things,Benson Boone,7582993,89,180304,False,album,2024-04-05
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,8626722,85,155453,False,compilation,1994-11-08
Die For You,The Weeknd,117214716,87,260253,False,album,2016-11-24
we can't be friends (wait for your love),Ariana Grande,109169656,88,228639,False,album,2024-03-08
Ordinary,Alex Warren,3451370,92,186964,False,album,2024-09-26
F,Hidden In The Basement,1476,11,279266,False,album,2025-12-05
F,Zha,2018,5,249359,False,compilation,2016-05-16
F,Mindless Self Indulgence,1729202,1,11800,True,album,2000-02-11
F,Pablo Feliu,5484,10,150624,True,single,2020-01-07
F,sd3k,598,5,125714,True,single,2025-02-28
F,Lean Lean,1293,13,206739,False,album,2025-12-26
F,DEAD BATTERY,4149,2,312750,False,album,2015-05-26
F,Fauves,2674,7,270026,False,album,2023-09-01
F,沢向 要士 THE BURST,100,18,207826,False,single,1988
f,Lil Sussy,579,2,279225,False,album,2023-04-02
F,VILA,490,3,142500,False,single,2021-01-06
f,socra,116,3,220372,False,single,2025-10-13
F,川田まみ,63743,4,350493,False,album,2012-08-08
F,AA=,16281,9,149266,False,album,2010-06-09
F,Dark Machine Nation,149,1,291453,False,compilation,2023-04-07
F,Ulises Conti,3702,5,203573,False,album,2014-06-22
F,Ncrypta,23767,10,195218,True,single,2022-04-25
All I Want for Christmas Is You,Mariah Carey,12353690,95,241562,False,album,1994-10-28
Radha,Hasan Raheem,966984,60,219574,False,single,2024-12-31
Ragea,Amr Diab,12563814,66,209186,False,album,2016-04-25
רוזה,Omer Adam,1471503,58,170054,False,album,2025-06-10
El Mejor - Remix,Yeison Jimenez,2760206,70,210386,False,single,2024-11-07
